1;"ab0601";"%Remonta Óleo Motor Entre Trocas";"MAB";"Abastecimento / Lubrificação";"N";"";"";1;"Consulta";yes;yes;"ab0601"
2;"ab0602";"Equipamento";"MAB";"Abastecimento / Lubrificação";"N";"";"";1;"Consulta";yes;yes;"ab0602"
3;"ab0604";"Consulta Inventário Equipamentos";"MAB";"Abastecimento / Lubrificação";"N";"";"";1;"Consulta";yes;yes;"ab0604"
4;"ab0606";"Controle Bombas";"MAB";"Abastecimento / Lubrificação";"N";"";"";1;"Consulta";yes;yes;"ab0606"
5;"ab0608";"Quantidade e Valor Combust./Lubr";"MAB";"Abastecimento / Lubrificação";"N";"";"";1;"Consulta";yes;yes;"ab0608"
6;"ab0609";"Consumo Combustível";"MAB";"Abastecimento / Lubrificação";"N";"";"";1;"Consulta";yes;yes;"ab0609"
7;"ab0611";"Abastecimento/Lubrificação";"MAB";"Abastecimento / Lubrificação";"N";"";"";1;"Consulta";yes;yes;"ab0611"
8;"ab0612";"Vencidos e A Vencer";"MAB";"Abastecimento / Lubrificação";"N";"";"";1;"Consulta";yes;yes;"ab0612"
9;"ab0613";"Realizados em Equipamentos";"MAB";"Abastecimento / Lubrificação";"N";"";"";1;"Consulta";yes;yes;"ab0613"
10;"ab0614";"Reservas";"MAB";"Abastecimento / Lubrificação";"N";"";"";1;"Consulta";yes;yes;"ab0614"
11;"ab0616";"Viagens";"MAB";"Abastecimento / Lubrificação";"N";"";"";1;"Consulta";yes;yes;"ab0616"
12;"ab0618";"Histórico Vida";"MAB";"Abastecimento / Lubrificação";"N";"";"";1;"Consulta";yes;yes;"ab0618"
13;"ab0619";"Apontamento Eventos";"MAB";"Abastecimento / Lubrificação";"N";"";"";1;"Consulta";yes;yes;"ab0619"
14;"mpe.AbsencesView";"Consulta de Ausências - Coordena";"MPE";"Controle de Frequência";"N";"";"";1;"Consulta";yes;yes;"AbsencesView"
15;"ac0501";"Cotas Produto";"MAC";"Administração de Cotas";"N";"";"";1;"Consulta";yes;yes;"ac0501"
16;"ac0502";"Cotas Representante";"MAC";"Administração de Cotas";"N";"";"";1;"Consulta";yes;yes;"ac0502"
17;"ac0503";"Gráfico Cotas Realizadas";"MAC";"Administração de Cotas";"N";"";"";1;"Consulta";yes;yes;"ac0503"
18;"ac0504";"Gráfico por Detalhe Cota";"MAC";"Administração de Cotas";"N";"";"";1;"Consulta";yes;yes;"ac0504"
